,Unnamed: 0,GEOID,POP10,HU10,ALAND,INTPTLAT,INTPTLONG                                                                                                                  ,coor,FIPS,FIPSS,ln,liquordense,popdense,housedense
112,112,6075010700,5592,3025,183165,37.798514,-122.4100466,"(37.7995333, -122.40976509999999)",60750107001005,6075010700,19,0.000103731608113,0.0305298501351,0.0165151639232
113,113,6075010700,5592,3025,183165,37.798514,-122.4100466,"(37.797251600000003, -122.41128549999999)",60750107003008,6075010700,19,0.000103731608113,0.0305298501351,0.0165151639232
114,114,6075010700,5592,3025,183165,37.798514,-122.4100466,"(37.798415875, -122.409403625)",60750107004001,6075010700,19,0.000103731608113,0.0305298501351,0.0165151639232
115,115,6075010700,5592,3025,183165,37.798514,-122.4100466,"(37.798411, -122.4086384)",60750107004000,6075010700,19,0.000103731608113,0.0305298501351,0.0165151639232
116,116,6075010700,5592,3025,183165,37.798514,-122.4100466,"(37.798886125, -122.408983875)",60750107002001,6075010700,19,0.000103731608113,0.0305298501351,0.0165151639232
117,117,6075010700,5592,3025,183165,37.798514,-122.4100466,"(37.800138, -122.410971)",60750107001006,6075010700,19,0.000103731608113,0.0305298501351,0.0165151639232
118,118,6075010700,5592,3025,183165,37.798514,-122.4100466,"(37.797325399999998, -122.40999939999999)",60750107003005,6075010700,19,0.000103731608113,0.0305298501351,0.0165151639232
119,119,6075010700,5592,3025,183165,37.798514,-122.4100466,"(37.7996498367347, -122.410609163265)",60750107001005,6075010700,19,0.000103731608113,0.0305298501351,0.0165151639232
120,120,6075010700,5592,3025,183165,37.798514,-122.4100466,"(37.80028475, -122.412323109632)",60750107001003,6075010700,19,0.000103731608113,0.0305298501351,0.0165151639232
121,121,6075010700,5592,3025,183165,37.798514,-122.4100466,"(37.797414, -122.408681)",60750107003004,6075010700,19,0.000103731608113,0.0305298501351,0.0165151639232
122,122,6075010700,5592,3025,183165,37.798514,-122.4100466,"(37.7976247336531, -122.410200104594)",60750107004002,6075010700,19,0.000103731608113,0.0305298501351,0.0165151639232
123,123,6075010700,5592,3025,183165,37.798514,-122.4100466,"(37.800348, -122.410961)",60750107001003,6075010700,19,0.000103731608113,0.0305298501351,0.0165151639232
124,124,6075010700,5592,3025,183165,37.798514,-122.4100466,"(37.7979062, -122.408542)",60750107004000,6075010700,19,0.000103731608113,0.0305298501351,0.0165151639232
125,125,6075010700,5592,3025,183165,37.798514,-122.4100466,"(37.797966899999999, -122.40721440000002)",60750107004000,6075010700,19,0.000103731608113,0.0305298501351,0.0165151639232
126,126,6075010700,5592,3025,183165,37.798514,-122.4100466,"(37.79881675, -122.40896825)",60750107002001,6075010700,19,0.000103731608113,0.0305298501351,0.0165151639232
127,127,6075010700,5592,3025,183165,37.798514,-122.4100466,"(37.799432847799999, -122.410235184)",60750107001005,6075010700,19,0.000103731608113,0.0305298501351,0.0165151639232
128,128,6075010700,5592,3025,183165,37.798514,-122.4100466,"(37.7992129, -122.4104684)",60750107002001,6075010700,19,0.000103731608113,0.0305298501351,0.0165151639232
129,129,6075010700,5592,3025,183165,37.798514,-122.4100466,"(37.799519, -122.4108108)",60750107001006,6075010700,19,0.000103731608113,0.0305298501351,0.0165151639232
130,130,6075010700,5592,3025,183165,37.798514,-122.4100466,"(37.8001904, -122.4104846)",60750107001005,6075010700,19,0.000103731608113,0.0305298501351,0.0165151639232
131,131,6075010800,4578,2719,226074,37.7964984,-122.4142914,"(37.795299, -122.413051)",60750108003001,6075010800,2,8.84666082787e-06,0.020250006635,0.0120270353955
132,132,6075010800,4578,2719,226074,37.7964984,-122.4142914,"(37.796914000000001, -122.41531999999999)",60750108001004,6075010800,2,8.84666082787e-06,0.020250006635,0.0120270353955
133,133,6075010900,4320,2891,249763,37.7980418,-122.4205531,"(37.798143100000004, -122.41870109999999)",60750109002000,6075010900,36,0.000144136641536,0.0172963969843,0.0115749730745
134,134,6075010900,4320,2891,249763,37.7980418,-122.4205531,"(37.7982701, -122.4224517)",60750109003003,6075010900,36,0.000144136641536,0.0172963969843,0.0115749730745
135,135,6075010900,4320,2891,249763,37.7980418,-122.4205531,"(37.798374700000004, -122.4190325)",60750109001005,6075010900,36,0.000144136641536,0.0172963969843,0.0115749730745
136,136,6075010900,4320,2891,249763,37.7980418,-122.4205531,"(37.797323, -122.4219315)",60750109002002,6075010900,36,0.000144136641536,0.0172963969843,0.0115749730745
137,137,6075010900,4320,2891,249763,37.7980418,-122.4205531,"(37.798822700000002, -122.419215854)",60750109001003,6075010900,36,0.000144136641536,0.0172963969843,0.0115749730745
138,138,6075010900,4320,2891,249763,37.7980418,-122.4205531,"(37.79908946875, -122.41925534375)",60750109001003,6075010900,36,0.000144136641536,0.0172963969843,0.0115749730745
139,139,6075010900,4320,2891,249763,37.7980418,-122.4205531,"(37.7971395, -122.4221707)",60750109003006,6075010900,36,0.000144136641536,0.0172963969843,0.0115749730745
140,140,6075010900,4320,2891,249763,37.7980418,-122.4205531,"(37.799281, -122.4235871)",60750109003001,6075010900,36,0.000144136641536,0.0172963969843,0.0115749730745
141,141,6075010900,4320,2891,249763,37.7980418,-122.4205531,"(37.7976742040816, -122.420324408163)",60750109002001,6075010900,36,0.000144136641536,0.0172963969843,0.0115749730745
142,142,6075010900,4320,2891,249763,37.7980418,-122.4205531,"(37.797552, -122.4219616)",60750109002002,6075010900,36,0.000144136641536,0.0172963969843,0.0115749730745
143,143,6075010900,4320,2891,249763,37.7980418,-122.4205531,"(37.79816455, -122.422462070154)",60750109003003,6075010900,36,0.000144136641536,0.0172963969843,0.0115749730745
144,144,6075010900,4320,2891,249763,37.7980418,-122.4205531,"(37.7964602857143, -122.421977285714)",60750109003008,6075010900,36,0.000144136641536,0.0172963969843,0.0115749730745
145,145,6075010900,4320,2891,249763,37.7980418,-122.4205531,"(37.79756605, -122.422365259695)",60750109003006,6075010900,36,0.000144136641536,0.0172963969843,0.0115749730745
146,146,6075010900,4320,2891,249763,37.7980418,-122.4205531,"(37.798605999999999, -122.41903400000001)",60750109001005,6075010900,36,0.000144136641536,0.0172963969843,0.0115749730745
147,147,6075010900,4320,2891,249763,37.7980418,-122.4205531,"(37.7989045, -122.4222246)",60750109003000,6075010900,36,0.000144136641536,0.0172963969843,0.0115749730745
148,148,6075010900,4320,2891,249763,37.7980418,-122.4205531,"(37.7977014286, -122.422463714)",60750109003006,6075010900,36,0.000144136641536,0.0172963969843,0.0115749730745
149,149,6075010900,4320,2891,249763,37.7980418,-122.4205531,"(37.7986951, -122.4221752)",60750109003004,6075010900,36,0.000144136641536,0.0172963969843,0.0115749730745
150,150,6075010900,4320,2891,249763,37.7980418,-122.4205531,"(37.7985445, -122.4221386)",60750109003004,6075010900,36,0.000144136641536,0.0172963969843,0.0115749730745
151,151,6075010900,4320,2891,249763,37.7980418,-122.4205531,"(37.7972898, -122.4221884)",60750109003006,6075010900,36,0.000144136641536,0.0172963969843,0.0115749730745
